id,drink_id,compornent_id,amount_number
690,209,5,0
691,209,28,0
692,209,2,0
693,210,105,0
694,210,2,0
695,211,105,0
696,211,31,0
697,211,8,0
698,212,105,0
699,212,101,0
700,213,105,0
701,213,7,0
702,214,38,0
703,214,10,0
704,214,5,0
705,215,108,0
706,215,45,0
707,215,37,0
708,215,101,0
709,215,124,0
710,215,26,0
711,216,84,0
712,216,2,0
713,217,84,0
714,217,8,0
715,217,75,0
716,218,30,0
717,218,2,0
718,218,125,0
719,219,104,0
720,219,2,0
721,220,104,0
722,220,46,0
723,221,4,0
724,221,8,0
725,222,82,0
726,222,39,0
727,222,10,0
728,222,5,0
729,223,23,0
730,223,119,0
731,224,58,0
732,224,126,0
733,224,98,0
734,224,57,0
735,224,2,0
736,225,71,0
737,225,57,0
738,225,14,0
739,225,101,0
740,226,114,0
741,226,34,0
742,227,109,0
743,227,110,0
744,228,109,0
745,228,34,0
746,229,113,0
747,229,101,0
748,230,10,0
749,230,37,0
750,230,82,0
751,230,54,0
752,231,127,0
753,231,107,0
754,232,82,0
755,232,85,0
756,233,85,0
757,233,101,0
758,234,85,0
759,234,123,0
760,234,101,0
761,235,50,0
762,235,2,0
763,235,7,0
764,236,54,0
765,236,101,0
766,236,128,0
767,237,71,0
768,237,2,0
769,238,71,0
770,238,14,0
771,238,101,0
772,239,71,0
773,239,101,0
774,240,108,0
775,240,71,0
776,240,14,0
777,241,108,0
778,241,101,0
779,242,108,0
780,242,111,0
781,242,7,0
782,243,58,0
783,243,38,0
784,243,10,0
785,243,14,0
786,243,5,0
787,244,71,0
788,244,58,0
789,244,14,0
790,244,101,0
791,245,58,0
792,245,46,0
793,245,8,0
794,246,58,0
795,246,71,0
796,246,14,0
797,246,37,0
798,247,58,0
799,247,38,0
800,247,49,0
801,248,58,0
802,248,101,0
803,249,13,0
804,249,69,0
805,250,127,0
806,250,129,0
807,251,85,0
808,251,129,0
809,251,101,0
810,252,111,0
811,252,20,0
812,253,111,0
813,253,7,0
814,254,111,0
815,254,14,0
816,255,111,0
817,255,101,0
818,256,62,0
819,256,20,0
820,257,31,0
821,257,119,0
822,258,71,0
823,258,31,0
824,258,14,0
825,258,101,0
826,259,113,0
827,259,7,0
828,260,71,0
829,260,70,0
830,260,14,0
831,260,101,0
832,261,103,0
833,261,46,0
834,262,117,0
835,262,23,0
836,263,1,0
837,263,26,0
838,263,2,0
839,263,5,0
840,264,113,0
841,264,82,0
842,264,24,0
843,264,34,0
844,265,1,0
845,265,38,0
846,265,39,0
847,265,40,0
848,265,10,0
849,265,5,0
850,265,41,0
851,266,27,0
852,266,53,0
853,267,58,0
854,267,12,0
855,267,115,0
856,267,5,0
857,267,72,0
858,268,23,0
859,268,42,0
860,268,30,0
861,268,5,0
862,268,43,0
863,269,27,0
864,269,31,0
865,269,101,0
866,269,130,0
867,270,27,0
868,270,20,0
869,270,73,0
870,271,58,0
871,271,131,0
872,271,30,0
873,271,16,0
874,272,27,0
875,272,54,0
876,272,49,0
877,273,109,0
878,273,1,0
879,273,132,0
880,273,133,0
881,274,127,0
882,274,134,0
